random,lower_higher,percent,gender
X = 10,higher,33,Male
X = 10,higher,25,Male
X = 10,higher,50,Male
X = 10,higher,25,Male
X = 10,higher,15,Female
X = 10,higher,35,Male
X = 10,higher,30,Female
X = 10,higher,25,Female
X = 10,higher,12,Female
X = 10,lower,7,Female
X = 10,higher,30,Male
X = 10,higher,15,Female
X = 10,higher,20,Female
X = 10,lower,7,Male
X = 10,lower,8,Male
X = 10,higher,25,Female
X = 10,higher,20,Female
X = 10,higher,30,Male
X = 10,higher,28,Male
X = 10,higher,23,Male
X = 10,higher,20,Male
X = 10,higher,15,Male
X = 10,higher,15,Male
X = 10,lower,7.5,Female
X = 10,lower,7,Male
X = 10,higher,30,Female
X = 10,higher,20,Female
X = 10,higher,20,Female
X = 10,higher,24,Female
X = 10,lower,5,Female
X = 10,lower,8,Female
X = 10,lower,2,Female
X = 10,higher,38,Male
X = 10,higher,20,Female
X = 10,higher,60,Male
X = 65,lower,66,Male
X = 65,lower,25,Male
X = 65,lower,50,Male
X = 65,higher,40,Male
X = 65,lower,28,Male
X = 65,lower,45,Male
X = 65,lower,25,Male
X = 65,lower,10,Female
X = 65,lower,20,Female
X = 65,lower,20,Male
X = 65,lower,20,Female
X = 65,lower,25,Female
X = 65,lower,30,Male
X = 65,lower,30,Male
X = 65,lower,49,Male
X = 65,lower,30,Male
X = 65,lower,5,Female
X = 65,lower,64,Female
X = 65,lower,30,Male
X = 65,lower,30,Male
X = 65,lower,15,Male
X = 65,lower,30,Female
X = 65,lower,56,Female
X = 65,lower,40,Female
X = 65,higher,70,Female
X = 65,lower,20,Female
X = 65,lower,20,Female
X = 65,lower,20,Female
X = 65,lower,40,Female
X = 65,lower,30,Female
X = 65,lower,20,Female
X = 65,lower,31,Male
X = 65,lower,42,Female
X = 65,lower,20,Male
